Label	Species	Name_full	Name_partial	CAZy:AA1	CAZy:AA11	CAZy:AA12	CAZy:AA14	CAZy:AA16	CAZy:AA2	CAZy:AA3	CAZy:AA4	CAZy:AA5	CAZy:AA6	CAZy:AA7	CAZy:AA8	CAZy:AA9	CAZy:CBM18	CAZy:CBM21	CAZy:CBM35	CAZy:CBM4	CAZy:CBM43	CAZy:CBM46	CAZy:CBM50	CAZy:CBM51	CAZy:CBM52	CAZy:CE1	CAZy:CE10	CAZy:CE12	CAZy:CE15	CAZy:CE16	CAZy:CE3	CAZy:CE4	CAZy:CE5	CAZy:CE8	CAZy:GH1	CAZy:GH10	CAZy:GH104	CAZy:GH105	CAZy:GH106	CAZy:GH108	CAZy:GH115	CAZy:GH117	CAZy:GH12	CAZy:GH125	CAZy:GH127	CAZy:GH128	CAZy:GH13	CAZy:GH131	CAZy:GH132	CAZy:GH133	CAZy:GH134	CAZy:GH145	CAZy:GH146	CAZy:GH15	CAZy:GH152	CAZy:GH154	CAZy:GH16	CAZy:GH17	CAZy:GH18	CAZy:GH19	CAZy:GH2	CAZy:GH20	CAZy:GH23	CAZy:GH24	CAZy:GH25	CAZy:GH26	CAZy:GH27	CAZy:GH28	CAZy:GH3	CAZy:GH31	CAZy:GH32	CAZy:GH33	CAZy:GH35	CAZy:GH37	CAZy:GH38	CAZy:GH43	CAZy:GH45	CAZy:GH47	CAZy:GH49	CAZy:GH5	CAZy:GH51	CAZy:GH53	CAZy:GH55	CAZy:GH6	CAZy:GH65	CAZy:GH7	CAZy:GH71	CAZy:GH72	CAZy:GH74	CAZy:GH75	CAZy:GH76	CAZy:GH78	CAZy:GH79	CAZy:GH81	CAZy:GH85	CAZy:GH88	CAZy:GH92	CAZy:GH93	CAZy:GH95	CAZy:GT1	CAZy:GT15	CAZy:GT17	CAZy:GT20	CAZy:GT21	CAZy:GT22	CAZy:GT24	CAZy:GT26	CAZy:GT2_Chitin_synth	CAZy:GT2_Glycos_transf	CAZy:GT2_Glyco_tranf_2	CAZy:GT2_Glyco_trans_2	CAZy:GT3	CAZy:GT32	CAZy:GT33	CAZy:GT34	CAZy:GT35	CAZy:GT39	CAZy:GT4	CAZy:GT48	CAZy:GT50	CAZy:GT51	CAZy:GT57	CAZy:GT58	CAZy:GT59	CAZy:GT62	CAZy:GT66	CAZy:GT69	CAZy:GT76	CAZy:GT77	CAZy:GT8	CAZy:GT90	CAZy:PL1	CAZy:PL17	CAZy:PL3	CAZy:PL35	CAZy:PL4	CAZy:PL7	CAZy:PL9	CAZy:SLH	
Sample_4981-AD-4-filtered	Gyromitra infula	Gyromitra infula UM1689 USA-WA	Gyromitra infula UM1689	5	8	0	2	1	1	15	0	1	1	11	1	26	1	1	1	0	1	0	0	0	0	3	12	3	1	2	1	8	2	1	2	4	0	1	0	0	1	0	1	0	1	1	7	2	2	1	1	1	1	2	1	1	7	5	6	0	4	2	0	0	0	2	1	5	11	10	1	0	5	1	1	11	1	5	0	17	2	1	4	3	1	2	1	4	1	2	5	1	1	1	0	2	0	1	2	1	3	0	3	1	2	1	0	6	2	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	1	0	6	2	10	0	5	0	5	0	0	0	
Sample_4981-AD-5-filtered	Gyromitra sp. 9	Gyromitra sp. 9 UM1691 USA-CA	Gyromitra sp. 9 UM1691	5	8	0	2	1	1	13	0	1	1	11	2	24	2	1	1	0	1	0	0	0	0	3	12	3	1	3	1	7	2	2	2	4	0	3	0	0	2	0	1	1	1	1	7	2	2	1	1	1	1	2	1	1	8	5	6	0	4	2	0	0	0	2	0	4	12	8	1	0	3	1	1	12	1	5	0	16	2	1	4	3	1	2	1	4	1	2	5	1	1	1	0	2	1	1	2	1	4	0	3	1	3	1	0	6	2	0	1	1	2	1	2	1	3	4	0	1	0	2	1	1	3	1	2	1	0	6	2	10	0	5	0	6	0	0	0	
Sample_4981-AD-6-filtered	Gyromitra americanigigas	Gyromitra americanigigas MICH352016 USA-MI	Gyromitra americanigigas MICH352016	2	10	1	2	0	1	8	1	1	1	10	1	22	0	1	1	0	1	0	0	0	0	2	9	2	1	2	1	5	4	2	2	3	0	2	0	0	1	0	1	1	0	1	5	2	2	1	1	1	0	2	1	1	7	4	4	0	4	1	0	0	0	1	0	1	8	7	0	0	4	1	1	5	1	5	0	14	1	1	3	3	1	3	1	4	1	2	5	0	1	1	1	1	0	0	2	0	4	0	3	1	4	1	0	6	2	1	1	1	1	1	3	1	3	3	1	1	0	2	0	1	3	1	1	1	0	6	1	4	0	4	0	3	0	0	0	
Sample_4981-AD-7-filtered	Gyromitra leucoxantha	Gyromitra leucoxantha MICH352087 USA-NY	Gyromitra leucoxantha MICH352087	2	8	1	2	0	1	7	0	1	1	5	1	18	1	1	1	0	1	1	1	0	0	2	7	2	1	2	1	6	1	0	2	3	0	3	0	0	1	0	0	1	0	3	3	2	2	1	1	1	0	1	1	1	7	5	4	0	3	2	0	0	0	1	0	1	8	7	0	0	2	1	1	5	1	4	0	13	2	1	3	3	1	2	1	4	1	2	5	0	0	1	1	1	0	0	1	0	3	0	3	1	3	1	0	6	2	1	1	1	2	1	3	1	3	3	1	1	0	2	1	1	3	1	1	1	0	5	1	4	0	4	0	3	0	0	0	
Sample_4981-AD-8-filtered	Gyromitra caroliniana	Gyromitra caroliniana MICH352092 USA-MO	Gyromitra caroliniana MICH352092	2	9	1	2	0	1	6	1	1	1	9	1	15	0	1	1	0	1	0	0	0	0	2	9	0	1	2	1	5	2	0	2	3	0	1	0	0	1	0	0	1	0	2	4	2	2	1	0	1	0	2	1	1	6	4	3	0	3	1	0	0	0	1	0	1	9	6	0	0	4	1	1	2	1	4	0	11	0	0	3	3	1	2	2	4	1	1	5	0	0	1	1	1	1	0	1	0	7	0	2	1	4	0	0	7	2	0	1	1	1	1	3	1	3	4	1	1	0	2	1	1	3	1	1	0	0	6	1	3	0	2	0	3	0	0	0	
Sample_4981-AD-9-filtered	Hydnotrya cubispora	Gyromitra cubispora FLAS-F-62913 Scotland	Gyromitra cubispora FLAS-F-62913	5	7	0	0	1	1	7	0	1	1	3	0	5	0	1	0	0	1	0	1	0	0	1	4	2	0	0	0	8	1	1	1	1	0	0	0	0	0	0	1	1	0	1	5	2	2	1	0	0	0	2	1	0	5	4	5	0	3	2	1	0	0	0	1	3	6	5	1	0	1	1	1	3	0	5	0	7	1	0	3	1	1	2	0	4	0	1	6	0	0	1	1	0	0	0	0	0	4	0	3	1	3	1	0	7	3	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	1	0	5	1	1	0	0	0	0	0	0	0	
Sample_4981-AD-10-filtered	Gyromitra antarctica	Gyromitra antarctica FLAS-F-65994 Chile	Gyromitra antarctica FLAS-F-65994	4	7	1	2	1	1	9	1	1	1	9	1	25	2	1	1	0	1	1	0	0	0	2	5	3	1	2	1	8	3	2	2	4	0	3	0	0	2	0	1	1	1	2	7	2	2	1	1	1	2	2	1	1	6	4	5	1	4	2	0	0	0	2	1	4	11	6	1	1	4	1	1	11	0	5	0	16	2	1	4	2	1	2	1	4	0	2	4	1	1	1	1	2	1	1	2	2	4	0	3	1	4	1	0	8	2	1	1	1	2	1	3	1	3	5	0	1	0	2	1	1	3	1	2	1	0	6	1	10	0	5	0	5	0	0	0	
Sample_4981-AD-11-filtered	Gyromitra sphaerospora	Gyromitra sphaerospora MICH25703 USA-MI	Gyromitra sphaerospora MICH25703	5	7	1	2	2	1	13	0	1	1	7	1	27	0	1	1	0	0	1	1	0	1	2	11	2	1	3	1	6	2	1	2	4	0	3	0	0	1	0	1	1	1	1	7	2	1	1	1	1	1	2	1	1	7	5	7	0	4	2	0	0	0	1	0	4	9	7	1	0	4	1	0	9	0	5	1	14	1	0	4	3	1	2	1	4	0	2	5	1	0	2	1	1	0	1	2	0	4	0	2	1	3	1	0	6	2	1	1	1	2	0	3	1	3	5	0	1	0	2	1	2	3	1	2	0	0	5	1	8	0	5	0	5	0	0	0	
Sample_4981-AD-12-filtered	Gyromitra ambigua	Gyromitra ambigua MICH28519 USA-AZ	Gyromitra ambigua MICH28519	5	8	0	1	1	1	14	1	1	2	12	1	25	1	1	1	0	1	0	0	0	0	3	13	3	1	3	1	6	2	2	2	4	0	2	0	0	1	1	1	1	1	1	7	2	2	1	1	1	1	2	1	1	8	5	7	0	4	2	0	0	0	2	1	4	12	8	1	0	5	1	1	13	1	5	0	15	2	1	4	3	1	2	1	4	1	2	5	1	1	1	1	2	1	0	2	1	4	0	3	1	1	1	0	6	2	0	1	1	2	1	3	1	3	4	1	1	0	2	1	1	3	1	2	1	0	6	2	10	0	5	0	6	0	0	0	
Sample_4981-AD-13-filtered	Gyromitra mcknightii	Gyromitra mcknightii MICH28557 USA-AZ	Gyromitra mcknightii MICH28557	2	11	1	3	0	1	9	1	1	1	9	1	18	0	1	1	0	1	0	0	0	0	2	8	2	1	2	1	7	2	1	2	3	0	3	0	0	1	0	1	1	0	2	4	2	2	1	1	1	0	2	1	1	7	6	3	0	4	2	0	0	0	1	0	1	9	7	0	0	4	1	0	5	1	5	0	14	2	1	3	3	1	2	2	4	1	2	5	0	1	1	1	1	1	0	1	1	5	0	3	1	4	1	0	6	3	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	1	1	0	5	1	4	0	2	0	3	0	0	0	
Sample_4981-AD-14-filtered	Gyromitra sp. 6	Gyromitra sp. 6 MICH4614 USA-ID	Gyromitra sp. 6 MICH4614	2	9	1	3	0	1	10	0	1	1	9	1	21	1	1	1	0	1	0	0	0	1	2	8	2	1	2	1	7	4	2	2	3	0	2	0	0	1	0	1	1	0	1	5	2	2	1	1	1	0	2	1	1	7	5	4	0	4	2	0	0	0	1	1	1	8	8	0	0	4	1	1	5	1	5	0	14	2	1	4	3	1	4	2	4	0	2	4	0	1	1	1	1	1	0	2	1	4	0	3	1	4	1	0	6	1	1	1	1	1	1	3	1	3	4	1	1	0	2	1	1	3	1	1	1	0	6	1	4	0	4	0	3	0	0	0	
Sample_4981-AD-15-filtered	Hydnotrya cerebriformis	Gyromitra cerebriformis MICH67763 USA-AZ	Gyromitra cerebriformis MICH67763	4	8	0	0	1	1	7	0	1	1	5	0	5	0	1	0	0	1	0	1	0	0	3	8	2	0	1	0	7	1	2	1	2	0	0	0	0	0	0	0	1	0	1	5	1	2	1	0	0	0	2	1	0	5	4	5	0	2	2	0	0	0	0	0	3	6	5	1	0	0	1	1	5	0	5	0	8	1	0	3	2	1	1	0	4	0	2	4	0	0	1	1	1	0	0	0	1	3	0	3	1	3	1	0	6	2	1	1	1	1	1	2	1	2	4	1	1	0	2	1	1	3	1	2	1	0	5	1	2	0	0	0	1	0	0	0	
Sample_6977-AD-1-filtered	Gyromitra venenata	Gyromitra venenata UM1678 USA-MI	Gyromitra venenata UM1678	5	8	1	2	1	1	10	1	1	1	10	2	28	1	1	1	0	1	1	0	0	0	2	9	3	1	3	1	7	4	1	2	4	0	2	0	0	2	0	1	1	1	2	7	2	2	1	1	1	1	2	1	0	6	4	5	0	4	1	0	0	0	2	1	4	11	6	1	1	4	1	1	9	0	5	0	15	0	1	4	2	1	2	1	4	0	2	3	1	0	1	1	2	1	1	2	1	4	0	3	1	4	1	0	7	2	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	0	0	6	1	11	0	5	0	6	0	0	0	
Sample_6977-AD-2-filtered	Gyromitra korfii	Gyromitra korfii MICH352049 USA-PA	Gyromitra korfii MICH352049	2	11	1	2	0	1	7	1	1	1	12	2	20	1	1	1	0	1	0	0	0	0	2	9	2	1	2	1	7	5	2	2	3	0	2	0	0	1	0	1	1	0	1	4	2	2	1	0	1	0	2	1	1	7	4	4	0	3	2	0	1	0	1	0	1	8	8	0	0	4	1	1	5	1	5	0	13	2	1	3	3	1	4	1	4	1	2	5	0	1	1	1	1	1	0	2	1	3	0	3	1	3	1	0	6	3	1	1	1	2	1	3	1	3	3	0	1	0	2	1	1	3	1	1	1	0	4	1	4	0	4	0	3	0	0	0	
Sample_6977-AD-3-filtered	Gyromitra venenata	Gyromitra venenata MICH352070 Canada-QC	Gyromitra venenata MICH352070	5	10	1	2	1	1	10	1	1	1	11	2	26	3	1	1	0	1	0	0	0	0	2	9	3	1	3	1	8	4	1	2	4	0	3	0	0	2	0	1	1	1	2	7	2	2	1	1	1	1	2	1	1	7	4	5	0	4	2	0	0	0	2	2	4	11	5	0	1	4	1	1	10	0	5	0	15	1	1	4	2	1	2	1	4	0	2	4	1	1	1	1	2	1	1	2	1	4	0	3	1	4	1	0	6	2	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	1	0	7	1	11	0	5	0	5	0	0	0	
Sample_6977-AD-4-filtered	Gyromitra warnei	Gyromitra warnei MICH352073 USA-MI	Gyromitra warnei MICH352073	2	11	1	3	0	1	8	1	1	1	7	2	19	1	1	1	0	1	0	0	0	1	2	10	1	1	2	1	6	2	1	2	3	0	2	0	0	1	0	1	1	0	2	4	2	2	1	1	1	0	2	1	1	5	6	5	0	4	2	0	1	0	1	1	1	8	6	0	0	4	1	0	5	1	5	0	14	1	1	3	3	1	2	2	4	1	2	5	0	1	1	1	1	1	0	1	1	4	0	3	1	3	1	0	6	2	1	1	1	2	1	3	1	3	4	1	1	0	2	1	1	3	1	1	1	0	4	1	4	0	2	0	3	0	0	0	
Sample_6977-AD-5-filtered	Gyromitra ancilis	Gyromitra ancilis MICH352081 USA-PA	Gyromitra ancilis MICH352081	2	11	1	3	0	1	9	1	1	1	7	1	19	1	1	1	0	1	0	1	0	0	2	9	2	1	2	1	6	2	2	2	3	1	2	0	0	1	0	1	1	0	2	4	2	2	1	1	1	0	2	1	1	7	5	4	0	4	2	0	0	0	1	0	1	8	7	0	0	4	1	1	5	1	5	0	14	1	1	3	3	1	2	1	4	1	2	4	0	1	1	1	1	1	0	1	0	3	0	2	1	3	1	0	6	2	1	1	1	2	1	3	1	3	3	1	1	0	2	1	1	3	1	1	1	0	5	1	4	0	2	0	3	0	0	0	
Sample_6977-AD-6-filtered	Gyromitra sp. 2	Gyromitra sp. 2 MICH346448 Canada-BC	Gyromitra sp. 2 MICH346448	2	9	1	3	0	1	8	1	1	1	10	1	20	0	1	1	0	1	0	0	0	0	2	9	2	1	2	1	6	4	2	2	3	0	1	0	1	1	0	1	1	0	1	4	2	2	1	1	1	0	2	1	1	7	4	3	0	4	2	0	0	0	1	0	1	8	8	0	0	4	1	1	5	1	5	0	14	2	0	4	3	1	4	2	4	1	2	5	0	1	1	1	1	1	0	2	0	6	0	3	1	3	1	0	6	2	1	1	1	1	1	3	1	2	4	1	1	0	2	1	1	3	1	1	1	0	6	1	4	0	4	0	3	0	1	0	
Sample_6977-AD-7-filtered	Gyromitra sp. 4	Gyromitra sp. 4 MICH346481 USA-OR	Gyromitra sp. 4 MICH346481	2	11	1	3	0	1	9	1	1	1	7	1	18	1	1	1	1	1	0	0	0	0	2	10	1	1	2	1	7	2	2	2	3	0	2	0	0	1	0	1	1	0	2	5	2	2	1	1	1	0	2	1	1	7	6	3	0	4	2	0	0	0	1	0	1	8	7	0	0	4	1	1	5	1	5	0	14	2	1	3	3	1	2	2	4	1	2	4	0	1	1	1	1	1	0	1	1	5	0	3	1	4	1	0	7	4	1	1	1	2	1	3	1	3	6	1	1	0	2	1	1	3	1	1	1	0	6	1	4	0	2	1	3	2	0	0	
Sample_6977-AD-8-filtered	Gyromitra sp. 6	Gyromitra sp. 6 MICH346452 USA-ID	Gyromitra sp. 6 MICH346452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sample_6977-AD-9-filtered	Gyromitra sp. 11	Gyromitra sp. 11 MICH346502 USA-WA	Gyromitra sp. 11 MICH346502	2	11	1	3	0	1	10	1	1	1	5	1	19	1	1	1	0	1	0	1	0	0	2	10	2	1	2	1	6	1	2	2	3	0	2	0	0	1	0	1	1	0	2	4	2	2	1	1	1	0	2	1	1	7	5	5	0	4	2	0	0	0	1	0	1	8	8	0	0	4	1	1	5	1	5	0	14	1	1	3	3	1	2	1	4	1	2	4	0	1	1	1	1	1	0	1	0	4	0	3	1	4	1	0	6	2	1	1	1	2	1	3	1	3	4	1	1	0	2	1	1	3	1	1	1	0	5	1	4	0	2	0	3	0	0	0	
Sample_6977-AD-10-filtered	Gyromitra persicula	Gyromitra persicula MICH346504 USA-WA	Gyromitra persicula MICH346504	2	8	1	2	0	1	7	0	1	1	7	1	19	1	1	1	0	1	1	1	0	0	2	10	1	1	2	1	7	1	0	2	3	0	2	0	0	1	0	0	1	0	3	4	1	1	1	0	1	0	2	1	1	7	5	4	0	3	2	0	0	0	1	1	1	8	7	0	0	2	1	0	4	1	4	0	15	2	1	3	3	2	2	1	4	1	2	6	0	0	1	1	1	1	0	0	1	5	0	3	1	4	1	0	7	2	0	1	1	1	1	3	1	3	3	1	1	1	2	1	1	3	1	1	1	0	6	1	4	0	4	0	3	0	0	0	
Sample_6977-AD-11-filtered	Gyromitra venenata	Gyromitra venenata MICH346486 USA-WA	Gyromitra venenata MICH346486	5	9	1	2	1	1	10	1	1	1	11	2	28	1	1	1	0	1	0	0	0	0	3	6	3	1	2	1	8	4	2	2	4	0	2	0	0	1	0	1	1	1	2	7	2	2	1	1	1	1	2	1	1	6	4	4	0	4	2	0	0	1	2	1	4	11	7	1	1	4	1	1	12	0	5	0	16	1	1	4	2	1	2	1	4	0	2	4	1	1	1	1	2	1	1	2	2	4	0	3	1	4	1	0	7	2	1	1	1	2	1	3	1	3	4	0	1	0	2	1	1	3	1	2	1	0	6	1	11	0	5	0	5	0	0	0	
